temporada,division,fecha,hora,local,visitante,goles_local,goles_visitante,resultado,quiniela
2024-2025,Primera,2024-08-27,20:30,Vallecano,Barcelona,1,2,Visitante,2
2024-2025,Primera,2024-08-28,18:00,Ath Bilbao,Valencia,1,0,Local,1
2024-2025,Primera,2024-08-28,18:00,Valladolid,Leganes,0,0,Empate,X
2024-2025,Primera,2024-08-28,20:30,Ath Madrid,Espanol,0,0,Empate,X
2024-2025,Primera,2024-08-28,20:30,Sociedad,Alaves,1,2,Visitante,2
2024-2025,Primera,2024-08-29,18:00,Girona,Osasuna,4,0,Local,1
2024-2025,Primera,2024-08-29,20:30,Las Palmas,Real Madrid,1,1,Empate,X
2024-2025,Primera,2024-08-31,16:00,Barcelona,Valladolid,7,0,Local,1
2024-2025,Primera,2024-08-31,18:00,Ath Bilbao,Ath Madrid,0,1,Visitante,2
2024-2025,Primera,2024-08-31,18:15,Espanol,Vallecano,2,1,Local,1
2024-2025,Primera,2024-08-31,20:30,Leganes,Mallorca,0,1,Visitante,2
2024-2025,Primera,2024-08-31,20:30,Valencia,Villarreal,1,1,Empate,X
2024-2025,Primera,2024-09-01,16:00,Alaves,Las Palmas,2,0,Local,1
2024-2025,Primera,2024-09-01,16:00,Osasuna,Celta,3,2,Local,1
2024-2025,Primera,2024-09-01,18:00,Sevilla,Girona,0,2,Visitante,2
2024-2025,Primera,2024-09-01,18:15,Getafe,Sociedad,0,0,Empate,X
2024-2025,Primera,2024-09-01,20:30,Real Madrid,Betis,2,0,Local,1
2024-2025,Primera,2024-09-13,20:00,Betis,Leganes,2,0,Local,1
2024-2025,Primera,2024-09-14,13:00,Mallorca,Villarreal,1,2,Visitante,2
2024-2025,Primera,2024-09-14,15:15,Espanol,Alaves,3,2,Local,1
2024-2025,Primera,2024-09-14,17:30,Sevilla,Getafe,1,0,Local,1
2024-2025,Primera,2024-09-14,20:00,Sociedad,Real Madrid,0,2,Visitante,2
2024-2025,Primera,2024-09-15,13:00,Celta,Valladolid,3,1,Local,1
2024-2025,Primera,2024-09-15,15:15,Girona,Barcelona,1,4,Visitante,2
2024-2025,Primera,2024-09-15,17:30,Las Palmas,Ath Bilbao,2,3,Visitante,2
2024-2025,Primera,2024-09-15,20:00,Ath Madrid,Valencia,3,0,Local,1
2024-2025,Primera,2024-09-16,20:00,Vallecano,Osasuna,3,1,Local,1
2024-2025,Primera,2024-09-17,18:00,Mallorca,Sociedad,1,0,Local,1
2024-2025,Primera,2024-09-18,18:00,Betis,Getafe,2,1,Local,1
2024-2025,Primera,2024-09-19,18:00,Leganes,Ath Bilbao,0,2,Visitante,2
2024-2025,Primera,2024-09-20,20:00,Alaves,Sevilla,2,1,Local,1
2024-2025,Primera,2024-09-21,13:00,Valladolid,Sociedad,0,0,Empate,X
2024-2025,Primera,2024-09-21,15:15,Osasuna,Las Palmas,2,1,Local,1
2024-2025,Primera,2024-09-21,17:30,Valencia,Girona,2,0,Local,1
2024-2025,Primera,2024-09-21,20:00,Real Madrid,Espanol,4,1,Local,1
2024-2025,Primera,2024-09-22,13:00,Getafe,Leganes,1,1,Empate,X
2024-2025,Primera,2024-09-22,15:15,Ath Bilbao,Celta,3,1,Local,1
2024-2025,Primera,2024-09-22,17:30,Villarreal,Barcelona,1,5,Visitante,2
2024-2025,Primera,2024-09-22,20:00,Vallecano,Ath Madrid,1,1,Empate,X
2024-2025,Primera,2024-09-23,20:00,Betis,Mallorca,1,2,Visitante,2
2024-2025,Primera,2024-09-24,18:00,Sevilla,Valladolid,2,1,Local,1
2024-2025,Primera,2024-09-24,18:00,Valencia,Osasuna,0,0,Empate,X
2024-2025,Primera,2024-09-24,20:00,Real Madrid,Alaves,3,2,Local,1
2024-2025,Primera,2024-09-25,18:00,Girona,Vallecano,0,0,Empate,X
2024-2025,Primera,2024-09-25,20:00,Barcelona,Getafe,1,0,Local,1
2024-2025,Primera,2024-09-26,18:00,Espanol,Villarreal,1,2,Visitante,2
2024-2025,Primera,2024-09-26,18:00,Las Palmas,Betis,1,1,Empate,X
2024-2025,Primera,2024-09-26,20:00,Celta,Ath Madrid,0,1,Visitante,2
2024-2025,Primera,2024-09-27,20:00,Valladolid,Mallorca,1,2,Visitante,2
2024-2025,Primera,2024-09-28,13:00,Getafe,Alaves,2,0,Local,1
2024-2025,Primera,2024-09-28,15:15,Vallecano,Leganes,1,1,Empate,X
2024-2025,Primera,2024-09-28,17:30,Sociedad,Valencia,3,0,Local,1
2024-2025,Primera,2024-09-28,20:00,Osasuna,Barcelona,4,2,Local,1
2024-2025,Primera,2024-09-29,13:00,Celta,Girona,1,1,Empate,X
2024-2025,Primera,2024-09-29,15:15,Ath Bilbao,Sevilla,1,1,Empate,X
2024-2025,Primera,2024-09-29,17:30,Betis,Espanol,1,0,Local,1
2024-2025,Primera,2024-09-29,20:00,Ath Madrid,Real Madrid,1,1,Empate,X
2024-2025,Primera,2024-09-30,20:00,Villarreal,Las Palmas,3,1,Local,1
2024-2025,Primera,2024-10-04,20:00,Leganes,Valencia,0,0,Empate,X
2024-2025,Primera,2024-10-05,13:00,Espanol,Mallorca,2,1,Local,1
2024-2025,Primera,2024-10-05,15:15,Getafe,Osasuna,1,1,Empate,X
2024-2025,Primera,2024-10-05,17:30,Las Palmas,Celta,0,1,Visitante,2
2024-2025,Primera,2024-10-05,17:30,Valladolid,Vallecano,1,2,Visitante,2
2024-2025,Primera,2024-10-05,20:00,Real Madrid,Villarreal,2,0,Local,1
2024-2025,Primera,2024-10-06,13:00,Girona,Ath Bilbao,2,1,Local,1
2024-2025,Primera,2024-10-06,15:15,Alaves,Barcelona,0,3,Visitante,2
2024-2025,Primera,2024-10-06,17:30,Sevilla,Betis,1,0,Local,1
2024-2025,Primera,2024-10-06,20:00,Sociedad,Ath Madrid,1,1,Empate,X
2024-2025,Primera,2024-10-18,20:00,Alaves,Valladolid,2,3,Visitante,2
2024-2025,Primera,2024-10-19,13:00,Ath Bilbao,Espanol,4,1,Local,1
2024-2025,Primera,2024-10-19,15:15,Osasuna,Betis,1,2,Visitante,2
2024-2025,Primera,2024-10-19,17:30,Girona,Sociedad,0,1,Visitante,2
2024-2025,Primera,2024-10-19,20:00,Celta,Real Madrid,1,2,Visitante,2
2024-2025,Primera,2024-10-20,13:00,Mallorca,Vallecano,1,0,Local,1
2024-2025,Primera,2024-10-20,15:15,Ath Madrid,Leganes,3,1,Local,1
2024-2025,Primera,2024-10-20,17:30,Villarreal,Getafe,1,1,Empate,X
2024-2025,Primera,2024-10-20,20:00,Barcelona,Sevilla,5,1,Local,1
2024-2025,Primera,2024-10-21,20:00,Valencia,Las Palmas,2,3,Visitante,2
2024-2025,Primera,2024-10-25,20:00,Espanol,Sevilla,0,2,Visitante,2
2024-2025,Primera,2024-10-26,13:00,Valladolid,Villarreal,1,2,Visitante,2
2024-2025,Primera,2024-10-26,15:15,Vallecano,Alaves,1,0,Local,1
2024-2025,Primera,2024-10-26,17:30,Las Palmas,Girona,1,0,Local,1
2024-2025,Primera,2024-10-26,20:00,Real Madrid,Barcelona,0,4,Visitante,2
2024-2025,Primera,2024-10-27,13:00,Leganes,Celta,3,0,Local,1
2024-2025,Primera,2024-10-27,15:15,Getafe,Valencia,1,1,Empate,X
2024-2025,Primera,2024-10-27,17:30,Betis,Ath Madrid,1,0,Local,1
2024-2025,Primera,2024-10-27,20:00,Sociedad,Osasuna,0,2,Visitante,2
2024-2025,Primera,2024-10-28,20:00,Mallorca,Ath Bilbao,0,0,Empate,X
2024-2025,Primera,2024-11-01,20:00,Alaves,Mallorca,1,0,Local,1
2024-2025,Primera,2024-11-02,13:00,Osasuna,Valladolid,1,0,Local,1
2024-2025,Primera,2024-11-02,15:15,Girona,Leganes,4,3,Local,1
2024-2025,Primera,2024-11-03,13:00,Ath Madrid,Las Palmas,2,0,Local,1
2024-2025,Primera,2024-11-03,15:15,Barcelona,Espanol,3,1,Local,1
2024-2025,Primera,2024-11-03,17:30,Sevilla,Sociedad,0,2,Visitante,2
2024-2025,Primera,2024-11-03,20:00,Ath Bilbao,Betis,1,1,Empate,X
2024-2025,Primera,2024-11-04,20:00,Celta,Getafe,1,0,Local,1
2024-2025,Primera,2024-11-08,20:00,Vallecano,Las Palmas,1,3,Visitante,2
2024-2025,Primera,2024-11-09,13:00,Real Madrid,Osasuna,4,0,Local,1
2024-2025,Primera,2024-11-09,15:15,Villarreal,Alaves,3,0,Local,1
2024-2025,Primera,2024-11-09,20:00,Leganes,Sevilla,1,0,Local,1
2024-2025,Primera,2024-11-10,13:00,Betis,Celta,2,2,Empate,X
2024-2025,Primera,2024-11-10,15:15,Mallorca,Ath Madrid,0,1,Visitante,2
2024-2025,Primera,2024-11-10,17:30,Getafe,Girona,0,1,Visitante,2
2024-2025,Primera,2024-11-10,17:30,Valladolid,Ath Bilbao,1,1,Empate,X
2024-2025,Primera,2024-11-10,20:00,Sociedad,Barcelona,1,0,Local,1
2024-2025,Primera,2024-11-22,20:00,Getafe,Valladolid,2,0,Local,1
2024-2025,Primera,2024-11-23,13:00,Valencia,Betis,4,2,Local,1
2024-2025,Primera,2024-11-23,15:15,Ath Madrid,Alaves,2,1,Local,1
2024-2025,Primera,2024-11-23,17:30,Girona,Espanol,4,1,Local,1
2024-2025,Primera,2024-11-23,17:30,Las Palmas,Mallorca,2,3,Visitante,2
2024-2025,Primera,2024-11-23,20:00,Celta,Barcelona,2,2,Empate,X
2024-2025,Primera,2024-11-24,13:00,Osasuna,Villarreal,2,2,Empate,X
2024-2025,Primera,2024-11-24,15:15,Sevilla,Vallecano,1,0,Local,1
2024-2025,Primera,2024-11-24,17:30,Leganes,Real Madrid,0,3,Visitante,2
2024-2025,Primera,2024-11-24,20:00,Ath Bilbao,Sociedad,1,0,Local,1
2024-2025,Primera,2024-11-29,20:00,Mallorca,Valencia,2,1,Local,1
2024-2025,Primera,2024-11-30,13:00,Barcelona,Las Palmas,1,2,Visitante,2
2024-2025,Primera,2024-11-30,15:15,Alaves,Leganes,1,1,Empate,X
2024-2025,Primera,2024-11-30,17:30,Espanol,Celta,3,1,Local,1
2024-2025,Primera,2024-11-30,20:00,Valladolid,Ath Madrid,0,5,Visitante,2
2024-2025,Primera,2024-12-01,13:00,Villarreal,Girona,2,2,Empate,X
2024-2025,Primera,2024-12-01,15:15,Real Madrid,Getafe,2,0,Local,1
2024-2025,Primera,2024-12-01,17:30,Vallecano,Ath Bilbao,1,2,Visitante,2
2024-2025,Primera,2024-12-01,20:00,Sociedad,Betis,2,0,Local,1
2024-2025,Primera,2024-12-02,20:00,Sevilla,Osasuna,1,1,Empate,X
2024-2025,Primera,2024-12-03,18:00,Mallorca,Barcelona,1,5,Visitante,2
2024-2025,Primera,2024-12-04,20:00,Ath Bilbao,Real Madrid,2,1,Local,1
2024-2025,Primera,2024-12-06,20:00,Celta,Mallorca,2,0,Local,1
2024-2025,Primera,2024-12-07,13:00,Las Palmas,Valladolid,2,1,Local,1
2024-2025,Primera,2024-12-07,15:15,Betis,Barcelona,2,2,Empate,X
2024-2025,Primera,2024-12-07,17:30,Valencia,Vallecano,0,1,Visitante,2
2024-2025,Primera,2024-12-07,20:00,Girona,Real Madrid,0,3,Visitante,2
2024-2025,Primera,2024-12-08,13:00,Leganes,Sociedad,0,3,Visitante,2
2024-2025,Primera,2024-12-08,15:15,Ath Bilbao,Villarreal,2,0,Local,1
2024-2025,Primera,2024-12-08,17:30,Osasuna,Alaves,2,2,Empate,X
2024-2025,Primera,2024-12-08,20:00,Ath Madrid,Sevilla,4,3,Local,1
2024-2025,Primera,2024-12-09,20:00,Getafe,Espanol,1,0,Local,1
2024-2025,Primera,2024-12-13,20:00,Valladolid,Valencia,1,0,Local,1
2024-2025,Primera,2024-12-14,13:00,Espanol,Osasuna,0,0,Empate,X
2024-2025,Primera,2024-12-14,15:15,Mallorca,Girona,2,1,Local,1
2024-2025,Primera,2024-12-14,17:30,Sevilla,Celta,1,0,Local,1
2024-2025,Primera,2024-12-14,20:00,Vallecano,Real Madrid,3,3,Empate,X
2024-2025,Primera,2024-12-15,13:00,Ath Madrid,Getafe,1,0,Local,1
2024-2025,Primera,2024-12-15,15:15,Alaves,Ath Bilbao,1,1,Empate,X
2024-2025,Primera,2024-12-15,17:30,Sociedad,Las Palmas,0,0,Empate,X
2024-2025,Primera,2024-12-15,17:30,Villarreal,Betis,1,2,Visitante,2
2024-2025,Primera,2024-12-15,20:00,Barcelona,Leganes,0,1,Visitante,2
2024-2025,Primera,2024-12-18,20:30,Espanol,Valencia,1,1,Empate,X
2024-2025,Primera,2024-12-18,20:30,Villarreal,Vallecano,1,1,Empate,X
2024-2025,Primera,2024-12-20,20:00,Girona,Valladolid,3,0,Local,1
2024-2025,Primera,2024-12-21,13:00,Getafe,Mallorca,0,1,Visitante,2
2024-2025,Primera,2024-12-21,15:15,Celta,Sociedad,2,0,Local,1
2024-2025,Primera,2024-12-21,17:30,Osasuna,Ath Bilbao,1,2,Visitante,2
2024-2025,Primera,2024-12-21,20:00,Barcelona,Ath Madrid,1,2,Visitante,2
2024-2025,Primera,2024-12-22,13:00,Valencia,Alaves,2,2,Empate,X
2024-2025,Primera,2024-12-22,15:15,Real Madrid,Sevilla,4,2,Local,1
2024-2025,Primera,2024-12-22,17:30,Las Palmas,Espanol,1,0,Local,1
2024-2025,Primera,2024-12-22,17:30,Leganes,Villarreal,2,5,Visitante,2
2024-2025,Primera,2024-12-22,20:00,Betis,Vallecano,1,1,Empate,X
2024-2025,Primera,2025-01-03,20:00,Valencia,Real Madrid,1,2,Visitante,2
2024-2025,Primera,2025-01-10,20:00,Vallecano,Celta,2,1,Local,1
2024-2025,Primera,2025-01-11,13:00,Alaves,Girona,0,1,Visitante,2
2024-2025,Primera,2025-01-11,15:15,Valladolid,Betis,1,0,Local,1
2024-2025,Primera,2025-01-11,17:30,Espanol,Leganes,1,1,Empate,X
2024-2025,Primera,2025-01-11,20:00,Sevilla,Valencia,1,1,Empate,X
2024-2025,Primera,2025-01-12,13:00,Las Palmas,Getafe,1,2,Visitante,2
2024-2025,Primera,2025-01-12,15:15,Ath Madrid,Osasuna,1,0,Local,1
2024-2025,Primera,2025-01-13,20:00,Sociedad,Villarreal,1,0,Local,1
2024-2025,Primera,2025-01-17,20:00,Espanol,Valladolid,2,1,Local,1
2024-2025,Primera,2025-01-18,13:00,Girona,Sevilla,1,2,Visitante,2
2024-2025,Primera,2025-01-18,15:15,Leganes,Ath Madrid,1,0,Local,1
2024-2025,Primera,2025-01-18,17:30,Betis,Alaves,1,3,Visitante,2
2024-2025,Primera,2025-01-18,20:00,Getafe,Barcelona,1,1,Empate,X
2024-2025,Primera,2025-01-19,13:00,Celta,Ath Bilbao,1,2,Visitante,2
2024-2025,Primera,2025-01-19,15:15,Real Madrid,Las Palmas,4,1,Local,1
2024-2025,Primera,2025-01-19,17:30,Osasuna,Vallecano,1,1,Empate,X
2024-2025,Primera,2025-01-19,20:00,Valencia,Sociedad,1,0,Local,1
2024-2025,Primera,2025-01-20,20:00,Villarreal,Mallorca,4,0,Local,1
2024-2025,Primera,2025-01-24,20:00,Las Palmas,Osasuna,1,1,Empate,X
2024-2025,Primera,2025-01-25,13:00,Mallorca,Betis,0,1,Visitante,2
2024-2025,Primera,2025-01-25,15:15,Ath Madrid,Villarreal,1,1,Empate,X
2024-2025,Primera,2025-01-25,17:30,Sevilla,Espanol,1,1,Empate,X
2024-2025,Primera,2025-01-25,20:00,Valladolid,Real Madrid,0,3,Visitante,2
2024-2025,Primera,2025-01-26,13:00,Vallecano,Girona,2,1,Local,1
2024-2025,Primera,2025-01-26,15:15,Sociedad,Getafe,0,3,Visitante,2
2024-2025,Primera,2025-01-26,17:30,Ath Bilbao,Leganes,0,0,Empate,X
2024-2025,Primera,2025-01-26,20:00,Barcelona,Valencia,7,1,Local,1
2024-2025,Primera,2025-01-27,20:00,Alaves,Celta,1,1,Empate,X
2024-2025,Primera,2025-01-31,20:00,Leganes,Vallecano,0,1,Visitante,2
2024-2025,Primera,2025-02-01,13:00,Getafe,Sevilla,0,0,Empate,X
2024-2025,Primera,2025-02-01,15:15,Villarreal,Valladolid,5,1,Local,1
2024-2025,Primera,2025-02-01,17:30,Ath Madrid,Mallorca,2,0,Local,1
2024-2025,Primera,2025-02-01,20:00,Espanol,Real Madrid,1,0,Local,1
2024-2025,Primera,2025-02-02,13:00,Barcelona,Alaves,1,0,Local,1
2024-2025,Primera,2025-02-02,15:15,Valencia,Celta,2,1,Local,1
2024-2025,Primera,2025-02-02,17:30,Osasuna,Sociedad,2,1,Local,1
2024-2025,Primera,2025-02-02,20:00,Betis,Ath Bilbao,2,2,Empate,X
2024-2025,Primera,2025-02-03,20:00,Girona,Las Palmas,2,1,Local,1
2024-2025,Primera,2025-02-07,20:00,Vallecano,Valladolid,1,0,Local,1
2024-2025,Primera,2025-02-08,13:00,Celta,Betis,3,2,Local,1
2024-2025,Primera,2025-02-08,15:15,Ath Bilbao,Girona,3,0,Local,1
2024-2025,Primera,2025-02-08,17:30,Las Palmas,Villarreal,1,2,Visitante,2
2024-2025,Primera,2025-02-08,20:00,Real Madrid,Ath Madrid,1,1,Empate,X
2024-2025,Primera,2025-02-09,13:00,Alaves,Getafe,0,1,Visitante,2
2024-2025,Primera,2025-02-09,15:15,Valencia,Leganes,2,0,Local,1
2024-2025,Primera,2025-02-09,17:30,Sociedad,Espanol,2,1,Local,1
2024-2025,Primera,2025-02-09,20:00,Sevilla,Barcelona,1,4,Visitante,2
2024-2025,Primera,2025-02-10,20:00,Mallorca,Osasuna,1,1,Empate,X
2024-2025,Primera,2025-02-14,20:00,Girona,Getafe,1,2,Visitante,2
2024-2025,Primera,2025-02-15,13:00,Leganes,Alaves,3,3,Empate,X
2024-2025,Primera,2025-02-15,15:15,Osasuna,Real Madrid,1,1,Empate,X
2024-2025,Primera,2025-02-15,17:30,Ath Madrid,Celta,1,1,Empate,X
2024-2025,Primera,2025-02-15,20:00,Villarreal,Valencia,1,1,Empate,X
2024-2025,Primera,2025-02-16,13:00,Espanol,Ath Bilbao,1,1,Empate,X
2024-2025,Primera,2025-02-16,15:15,Valladolid,Sevilla,0,4,Visitante,2
2024-2025,Primera,2025-02-16,17:30,Mallorca,Las Palmas,3,1,Local,1
2024-2025,Primera,2025-02-16,20:00,Betis,Sociedad,3,0,Local,1
2024-2025,Primera,2025-02-17,20:00,Barcelona,Vallecano,1,0,Local,1
2024-2025,Primera,2025-02-21,20:00,Celta,Osasuna,1,0,Local,1
2024-2025,Primera,2025-02-22,13:00,Alaves,Espanol,0,1,Visitante,2
2024-2025,Primera,2025-02-22,15:15,Vallecano,Villarreal,0,1,Visitante,2
2024-2025,Primera,2025-02-22,17:30,Valencia,Ath Madrid,0,3,Visitante,2
2024-2025,Primera,2025-02-22,20:00,Las Palmas,Barcelona,0,2,Visitante,2
2024-2025,Primera,2025-02-23,13:00,Ath Bilbao,Valladolid,7,1,Local,1
2024-2025,Primera,2025-02-23,15:15,Real Madrid,Girona,2,0,Local,1
2024-2025,Primera,2025-02-23,17:30,Getafe,Betis,1,2,Visitante,2
2024-2025,Primera,2025-02-23,20:00,Sociedad,Leganes,3,0,Local,1
2024-2025,Primera,2025-02-24,20:00,Sevilla,Mallorca,1,1,Empate,X
2024-2025,Primera,2025-02-28,20:00,Valladolid,Las Palmas,1,1,Empate,X
2024-2025,Primera,2025-03-01,13:00,Girona,Celta,2,2,Empate,X
2024-2025,Primera,2025-03-01,15:15,Vallecano,Sevilla,1,1,Empate,X
2024-2025,Primera,2025-03-01,17:30,Betis,Real Madrid,2,1,Local,1
2024-2025,Primera,2025-03-01,20:00,Ath Madrid,Ath Bilbao,1,0,Local,1
2024-2025,Primera,2025-03-02,13:00,Leganes,Getafe,1,0,Local,1
2024-2025,Primera,2025-03-02,15:15,Barcelona,Sociedad,4,0,Local,1
2024-2025,Primera,2025-03-02,17:30,Mallorca,Alaves,1,1,Empate,X
2024-2025,Primera,2025-03-02,20:00,Osasuna,Valencia,3,3,Empate,X
2024-2025,Primera,2025-03-08,13:00,Celta,Leganes,2,1,Local,1
2024-2025,Primera,2025-03-08,15:15,Alaves,Villarreal,1,0,Local,1
2024-2025,Primera,2025-03-08,17:30,Valencia,Valladolid,2,1,Local,1
2024-2025,Primera,2025-03-09,13:00,Getafe,Ath Madrid,2,1,Local,1
2024-2025,Primera,2025-03-09,15:15,Real Madrid,Vallecano,2,1,Local,1
2024-2025,Primera,2025-03-09,17:30,Ath Bilbao,Mallorca,1,1,Empate,X
2024-2025,Primera,2025-03-09,17:30,Betis,Las Palmas,1,0,Local,1
2024-2025,Primera,2025-03-09,20:00,Sociedad,Sevilla,0,1,Visitante,2
2024-2025,Primera,2025-03-10,20:00,Espanol,Girona,1,1,Empate,X
2024-2025,Primera,2025-03-14,20:00,Las Palmas,Alaves,2,2,Empate,X
2024-2025,Primera,2025-03-15,13:00,Valladolid,Celta,0,1,Visitante,2
2024-2025,Primera,2025-03-15,15:15,Mallorca,Espanol,2,1,Local,1
2024-2025,Primera,2025-03-15,17:30,Villarreal,Real Madrid,1,2,Visitante,2
2024-2025,Primera,2025-03-15,20:00,Girona,Valencia,1,1,Empate,X
2024-2025,Primera,2025-03-16,13:00,Leganes,Betis,2,3,Visitante,2
2024-2025,Primera,2025-03-16,15:15,Sevilla,Ath Bilbao,0,1,Visitante,2
2024-2025,Primera,2025-03-16,17:30,Osasuna,Getafe,1,2,Visitante,2
2024-2025,Primera,2025-03-16,17:30,Vallecano,Sociedad,2,2,Empate,X
2024-2025,Primera,2025-03-16,20:00,Ath Madrid,Barcelona,2,4,Visitante,2
2024-2025,Primera,2025-03-27,20:00,Barcelona,Osasuna,3,0,Local,1
2024-2025,Primera,2025-03-29,13:00,Sociedad,Valladolid,2,1,Local,1
2024-2025,Primera,2025-03-29,15:15,Espanol,Ath Madrid,1,1,Empate,X
2024-2025,Primera,2025-03-29,17:30,Alaves,Vallecano,0,2,Visitante,2
2024-2025,Primera,2025-03-29,20:00,Real Madrid,Leganes,3,2,Local,1
2024-2025,Primera,2025-03-30,13:00,Getafe,Villarreal,1,2,Visitante,2
2024-2025,Primera,2025-03-30,15:15,Barcelona,Girona,4,1,Local,1
2024-2025,Primera,2025-03-30,17:30,Ath Bilbao,Osasuna,0,0,Empate,X
2024-2025,Primera,2025-03-30,17:30,Valencia,Mallorca,1,0,Local,1
2024-2025,Primera,2025-03-30,20:00,Betis,Sevilla,2,1,Local,1
2024-2025,Primera,2025-03-31,20:00,Celta,Las Palmas,1,1,Empate,X
2024-2025,Primera,2025-04-04,20:00,Vallecano,Espanol,0,4,Visitante,2
2024-2025,Primera,2025-04-05,13:00,Girona,Alaves,0,1,Visitante,2
2024-2025,Primera,2025-04-05,15:15,Real Madrid,Valencia,1,2,Visitante,2
2024-2025,Primera,2025-04-05,17:30,Mallorca,Celta,1,2,Visitante,2
2024-2025,Primera,2025-04-05,20:00,Barcelona,Betis,1,1,Empate,X
2024-2025,Primera,2025-04-06,13:00,Las Palmas,Sociedad,1,3,Visitante,2
2024-2025,Primera,2025-04-06,15:15,Sevilla,Ath Madrid,1,2,Visitante,2
2024-2025,Primera,2025-04-06,17:30,Valladolid,Getafe,0,4,Visitante,2
2024-2025,Primera,2025-04-06,20:00,Villarreal,Ath Bilbao,0,0,Empate,X
2024-2025,Primera,2025-04-07,20:00,Leganes,Osasuna,1,1,Empate,X
2024-2025,Primera,2025-04-11,20:00,Valencia,Sevilla,1,0,Local,1
2024-2025,Primera,2025-04-12,13:00,Sociedad,Mallorca,0,2,Visitante,2
2024-2025,Primera,2025-04-12,15:15,Getafe,Las Palmas,1,3,Visitante,2
2024-2025,Primera,2025-04-12,17:30,Celta,Espanol,0,2,Visitante,2
2024-2025,Primera,2025-04-12,20:00,Leganes,Barcelona,0,1,Visitante,2
2024-2025,Primera,2025-04-13,13:00,Osasuna,Girona,2,1,Local,1
2024-2025,Primera,2025-04-13,15:15,Alaves,Real Madrid,0,1,Visitante,2
2024-2025,Primera,2025-04-13,17:30,Betis,Villarreal,1,2,Visitante,2
2024-2025,Primera,2025-04-13,20:00,Ath Bilbao,Vallecano,3,1,Local,1
2024-2025,Primera,2025-04-14,20:00,Ath Madrid,Valladolid,4,2,Local,1
2024-2025,Primera,2025-04-18,20:00,Espanol,Getafe,1,0,Local,1
2024-2025,Primera,2025-04-19,13:00,Vallecano,Valencia,1,1,Empate,X
2024-2025,Primera,2025-04-19,15:15,Barcelona,Celta,4,3,Local,1
2024-2025,Primera,2025-04-19,17:30,Mallorca,Leganes,0,0,Empate,X
2024-2025,Primera,2025-04-19,20:00,Las Palmas,Ath Madrid,1,0,Local,1
2024-2025,Primera,2025-04-20,13:00,Valladolid,Osasuna,2,3,Visitante,2
2024-2025,Primera,2025-04-20,15:15,Villarreal,Sociedad,2,2,Empate,X
2024-2025,Primera,2025-04-20,17:30,Sevilla,Alaves,1,1,Empate,X
2024-2025,Primera,2025-04-20,20:00,Real Madrid,Ath Bilbao,1,0,Local,1
2024-2025,Primera,2025-04-21,20:00,Girona,Betis,1,3,Visitante,2
2024-2025,Primera,2025-04-22,18:00,Valencia,Espanol,1,1,Empate,X
2024-2025,Primera,2025-04-22,20:30,Barcelona,Mallorca,1,0,Local,1
2024-2025,Primera,2025-04-23,18:00,Ath Bilbao,Las Palmas,1,0,Local,1
2024-2025,Primera,2025-04-23,18:00,Celta,Villarreal,3,0,Local,1
2024-2025,Primera,2025-04-23,20:30,Alaves,Sociedad,1,0,Local,1
2024-2025,Primera,2025-04-23,20:30,Getafe,Real Madrid,0,1,Visitante,2
2024-2025,Primera,2025-04-24,18:00,Leganes,Girona,1,1,Empate,X
2024-2025,Primera,2025-04-24,18:00,Osasuna,Sevilla,1,0,Local,1
